tahun, bulan, curah_hujan
2018, 1, 215.1
2018, 2, 431.2
2018, 3, 188.6
2018, 4, 159.1
2018, 5, 16.7
2018, 6, 12.6
2018, 7, 14.5
2018, 8, 33.0
2018, 9, 62.0
2018, 10, 133.8
2018, 11, 140.9
2018, 12, 52.3
2019, 1, 383.9
2019, 2, 270.1
2019, 3, 327.3
2019, 4, 194.6
2019, 5, 47.8
2019, 6, 23.1
2019, 7, 0.0
2019, 8, 0.0
2019, 9, 1.0
2019, 10, 1.0
2019, 11, 50.1
2019, 12, 263.8
2020, 1, 618.0
2020, 2, 1043.2
2020, 3, 220.7
2020, 4, 182.8
2020, 5, 50.4
2020, 6, 21.1
2020, 7, 12.1
2020, 8, 101.0
2020, 9, 151.9
2020, 10, 208.3
2020, 11, 87.3
2020, 12, 134.7

